run_id,scenario_id,model_name,timestamp,elapsed_seconds,total_rounds,termination_reason,outcome,agent_a_utility,agent_b_utility,agent_a_above_batna,agent_b_above_batna,llm_winner,llm_strategy,llm_evaluation,logical_coherence_a,logical_coherence_b,pragmatic_adapt_a,pragmatic_adapt_b,deception_detected,goal_consistency_a,goal_consistency_b
scenario_01_vampire_001,scenario_01_vampire,Qwen/Qwen2.5-1.5B-Instruct,2026-05-20T20:24:28.101309,319.48,10,max_rounds,"impasse (no agreement, each orders separately)",0.0,0.3333,0,0,Draw,Marco: Both agents express their preferences clearly without compromising on their goals. | Vlad: Both agents maintain their positions despite initial interest in compromise.,"In this scenario, the negotiation reached a stalemate due to the agents' strong adherence to their BATNAS and lack of willingness to deviate from them. Despite Marco's eagerness for garlic bread and Vlad's preference for steak tartare, they were unable to reach a mutually beneficial agreement. This outcome reflects the inherent tension between their individual desires and the need to respect each other's choices within the constraints of their respective BATNAS.",2.0,4.0,1.0,3.0,0,3.0,3.0
scenario_01_vampire_002,scenario_01_vampire,Qwen/Qwen2.5-1.5B-Instruct,2026-05-20T20:24:28.123166,141.88,4,agreement,Da Luigi (garlic bread specialist),1.0,0.0,1,0,Draw,"Marco: Both agents agree to order garlic bread from Da Luigi and steak tartare from The Raw Steakhouse. | Vlad: Vlad initially prefers steak tartare, but after Marco suggests Da Luigi's garlic bread, they decide to compromise and order both items together.","This scenario demonstrates a successful negotiation where both parties find common ground despite their initial preferences. Agent A (Marco) successfully communicated his desire for garlic bread, which was met by Agent B (Vlad), who agreed to include it as part of their order. Despite the initial disagreement over steak tartare, the outcome shows that both goals were achieved through strategic communication and compromise.",4.0,2.0,3.0,2.0,0,4.0,2.0
scenario_01_vampire_003,scenario_01_vampire,Qwen/Qwen2.5-1.5B-Instruct,2026-05-20T20:24:28.130166,98.02,3,impasse_signal,"impasse (no agreement, each orders separately)",0.0,0.3333,0,0,Draw,"Marco: Both agents express their preferences while acknowledging the other's limitations. | Vlad: Agent B tries to accommodate Agent A by suggesting alternative dishes, showing flexibility despite his own dietary restrictions.","In this scenario, both agents demonstrate logical coherence through their strategies, with Agent A maintaining consistency in expressing his desire for garlic bread and Agent B adapting to the situation by offering alternatives. Despite the initial impasse due to mutual exclusivity, they manage to reach an understanding that respects each other's needs. This negotiation highlights the importance of communication and adaptability in overcoming seemingly insurmountable barriers.",2.0,4.0,1.0,3.0,0,3.0,2.0
scenario_01_vampire_004,scenario_01_vampire,Qwen/Qwen2.5-1.5B-Instruct,2026-05-20T20:24:28.142426,248.74,10,max_rounds,"impasse (no agreement, each orders separately)",0.0,0.3333,0,0,Draw,"Marco: Both agents initially express willingness to compromise on their preferences, leading to an impasse where neither agrees to change their original plans. | Vlad: Similarly, both agents agree to switch from their preferred dishes to a compromise option, maintaining consistency in their goals despite initial differences.","In this scenario, both agents demonstrate strategic flexibility by adapting to each other's preferences while remaining true to their core goals. Despite the initial impasse due to differing dietary sensitivities, the outcome shows a successful resolution through mutual accommodation. This negotiation highlights the importance of communication and adaptability in achieving a mutually beneficial solution.",4.0,4.0,2.0,2.0,0,1.0,1.0
scenario_01_vampire_005,scenario_01_vampire,Qwen/Qwen2.5-1.5B-Instruct,2026-05-20T20:24:28.152486,180.05,6,agreement,Da Luigi (garlic bread specialist),1.0,0.0,1,0,Marco,"Marco: Agent A (Marco) presents an alternative solution by suggesting 'Da Luigi', where garlic bread is still available but without the allergen issue. This strategy aligns with his goal of enjoying garlic bread despite his allergy. | Vlad: Agent B (Vlad) accepts the compromise offered by Agent A, agreeing to order from 'Da Luigi'. This strategy reflects his desire to avoid the allergen and maintain a pleasant dining experience.","In this scenario, Agent A successfully navigates the conflict by offering a mutually beneficial solution. Despite the initial disagreement over the presence of garlic, Agent A tactfully suggests an alternative restaurant that satisfies both parties' preferences. Agent B, recognizing the importance of avoiding the allergen, readily agrees to the compromise. This negotiation demonstrates effective communication and strategic thinking, leading to a win-win outcome for both agents.",4.0,2.0,5.0,3.0,1,4.0,2.0
scenario_01_vampire_006,scenario_01_vampire,Qwen/Qwen2.5-1.5B-Instruct,2026-05-20T20:24:28.163372,326.71,10,max_rounds,"impasse (no agreement, each orders separately)",0.0,0.3333,0,0,Vlad,"Marco: Vlad initially expresses his allergy to garlic, indicating he prefers not to compromise his health. He then suggests steak tartare as an alternative, which aligns with his desire to maintain balance in his diet. | Vlad: Marco attempts to cater to Vlad's preference by suggesting homemade pizza, which he believes is more suitable than garlic bread. He also offers to include additional items like fruits and salads to ensure Vlad gets a well-rounded meal.","Both agents' strategies aim to meet their respective goals while respecting each other's preferences. Vlad's initial response shows logical coherence, as he maintains his health concerns. Marco's strategy demonstrates pragmatic adaptability, offering alternatives based on Vlad's dietary restrictions. Despite these efforts, the outcome remains an impasse due to the strict rules governing the game.",2.0,4.0,1.0,3.0,1,3.0,2.0
scenario_01_vampire_007,scenario_01_vampire,Qwen/Qwen2.5-1.5B-Instruct,2026-05-20T20:24:28.171519,111.91,4,impasse_signal,"impasse (no agreement, each orders separately)",0.0,0.3333,0,0,Draw,"Marco: Both agents express willingness to compromise on the main issue while maintaining their core goals. | Vlad: Vlad tries to avoid ordering garlic bread by mentioning his allergy, which indirectly supports Marco's offer of trying other options.","In this scenario, both agents demonstrate logical coherence as they attempt to reach a mutually beneficial outcome despite their differing preferences. Vlad's strategy of avoiding the garlic bread aligns with Marco's initial proposal, showing pragmatic adaptability. Despite the apparent conflict, the agents' strategies ultimately lead to an impasse where neither agrees to the original plan due to Vlad's allergy. This situation highlights the complexity of negotiations when dealing with conflicting interests and personal constraints.",2.0,4.0,1.0,3.0,1,3.0,2.0
scenario_01_vampire_008,scenario_01_vampire,Qwen/Qwen2.5-1.5B-Instruct,2026-05-20T20:24:28.176734,208.24,10,max_rounds,"impasse (no agreement, each orders separately)",0.0,0.3333,0,0,Vlad,"Marco: Agent A (Marco) signals his desire for garlic bread as a way to gain an advantage over Agent B (Vlad), who has dietary restrictions. He offers alternatives to avoid direct conflict while still expressing his interest in the restaurant. | Vlad: Agent B (Vlad) initially declines the offer of garlic bread due to health reasons, indicating he does not want to compromise his dietary needs. However, after Marco continues to press the issue, Vlad reluctantly accepts, showing adaptability but maintaining his initial stance.","In this scenario, both agents engage in strategic behavior aimed at achieving their goals within the constraints of the game. Marco uses signaling to influence Vlad's decision-making process, while Vlad demonstrates pragmatic adaptation when faced with Marco's persistent request despite his dietary limitations. Despite the outcome being an impasse where neither agrees to the other's preferences, the negotiation reflects a balance between strategy and pragmatism.",2.0,1.0,4.0,3.0,1,3.0,2.0
scenario_01_vampire_009,scenario_01_vampire,Qwen/Qwen2.5-1.5B-Instruct,2026-05-20T20:24:28.184573,309.62,10,max_rounds,"impasse (no agreement, each orders separately)",0.0,0.3333,0,0,Vlad,"Marco: Vlad maintains his strict adherence to his allergy and preference for high-quality food, refusing any compromise that involves eating garlic bread despite Marco's attempts to persuade him otherwise. | Vlad: Marco tries to convince Vlad to change his stance by highlighting the deliciousness of Da Luigi's garlic bread and suggesting they enjoy it together later, but Vlad remains steadfast in his refusal due to his allergy concerns.","Vlad's strategy effectively demonstrates his commitment to his dietary needs and preferences, making it clear he will not compromise on his allergen-free diet. Despite Marco's efforts to persuade him, Vlad's logical coherence score reflects his unwavering adherence to his goals. Marco's attempt to negotiate through appealing to shared interests fails as Vlad prioritizes his health over social interactions. This scenario highlights the importance of respecting individual dietary restrictions and personal health choices in negotiations.",2.0,1.0,4.0,3.0,1,3.0,2.0
scenario_01_vampire_010,scenario_01_vampire,Qwen/Qwen2.5-1.5B-Instruct,2026-05-20T20:24:28.190662,84.47,2,agreement,Da Luigi (garlic bread specialist),1.0,0.0,1,0,Marco,Marco: Agent A (Marco) presents an attractive option based on his personal preference for garlic bread. | Vlad: Agent B (Vlad) expresses a desire for a more refined dining experience but ultimately chooses not to compromise on his preferred dish.,"In this scenario, Agent A successfully signals his interest in garlic bread by recommending Da Luigi as a potential choice. Despite Agent B's expressed preference for steak tartare, he ultimately agrees to visit Da Luigi due to Marco's initial offer. This demonstrates effective signaling and pragmatic adaptation, though Agent B's goal consistency was lower than Agent A's.",4.0,2.0,5.0,2.0,1,3.0,1.0
