scenario_id,run_id,round_number,speaker,speaker_name,utterance,sentiment_label,sentiment_score,sentiment_compound,hedge_rate,question_rate,avg_sentence_length,lexical_diversity,dominant_tactic,persuasion_concession,persuasion_flattery,persuasion_threat,persuasion_urgency,named_outcomes
scenario_01_vampire,scenario_01_vampire_001,1,agent_a,Marco,"Hey there! I've been craving some delicious garlic bread lately, and I heard Da Luigi's is the best place for it. They've got some of the most amazing garlic bread you'll ever taste, and I can't wait to try it. Plus, it's right here in the sun, so it's perfect for me. What do you say? Should we go get some?",positive,0.9866,0.9866,0.0,0.3333,11.33,0.7705,flattery,0,1,0,0,"[""Da Luigi (garlic bread specialist)""]"
scenario_01_vampire,scenario_01_vampire_001,2,agent_b,Vlad,"Oh, Marco, that sounds delightful! I must admit, I've always had a bit of a sweet tooth, but I'm quite fond of garlic bread as well. However, I have a slight allergy to garlic, which makes it difficult for me to enjoy it. Perhaps we could find something else to share that suits both of our tastes?",positive,0.9202,0.9202,0.0339,0.25,14.75,0.7895,concession,2,0,0,0,[]
scenario_01_vampire,scenario_01_vampire_001,3,agent_a,Marco,"Oh no, Vlad! Garlic bread is my weakness, and I can't resist it! But don't worry; I'll find something else to share with you. Maybe we could split an appetizer or a salad instead. It's all good, isn't it?",positive,0.5669,0.5669,0.0455,0.2,8.8,0.8974,concession,1,0,0,0,[]
scenario_01_vampire,scenario_01_vampire_001,4,agent_b,Vlad,"Oh, Marco, you know how much I appreciate your enthusiasm! I must confess, I have a slight allergy to garlic, which makes it difficult for me to indulge in garlic bread. However, I'm quite fond of the aroma and the texture of garlic itself. Perhaps we could share some steak tartare, which is quite rare and delicious, or perhaps even a small piece of very rare beef? It would be a treat for both of us!",positive,0.9135,0.9135,0.026,0.2,15.4,0.75,concession,1,0,0,1,[]
scenario_01_vampire,scenario_01_vampire_001,5,agent_a,Marco,"Oh, Vlad, I understand completely! Garlic bread is such a guilty pleasure for me. But I promise, I won't let it ruin our meal. How about we split a small portion of the steak tartare? It's so rare and delicious, and I bet you'd love it too!",positive,0.9061,0.9061,0.0,0.2,10.0,0.8511,concession,2,0,0,0,[]
scenario_01_vampire,scenario_01_vampire_001,6,agent_b,Vlad,"Oh, Marco, you know how much I appreciate your enthusiasm! I must confess, I have a slight allergy to garlic, which makes it difficult for me to indulge in garlic bread. However, I'm quite fond of the aroma and the texture of garlic itself. Perhaps we could share some steak tartare, which is quite rare and delicious, or perhaps even a small piece of very rare beef? It would be a treat for both of us!",positive,0.9135,0.9135,0.026,0.2,15.4,0.75,concession,1,0,0,1,[]
scenario_01_vampire,scenario_01_vampire_001,7,agent_a,Marco,"Oh, Vlad, I understand completely! Garlic bread is such a guilty pleasure for me. But I promise, I won't let it ruin our meal. How about we split a small portion of the steak tartare? It's so rare and delicious, and I bet you'd love it too!",positive,0.9061,0.9061,0.0,0.2,10.0,0.8511,concession,2,0,0,0,[]
scenario_01_vampire,scenario_01_vampire_001,8,agent_b,Vlad,"Oh, Marco, I understand completely! Garlic bread is such a guilty pleasure for me. But I promise, I won't let it ruin our meal. How about we split a small portion of the steak tartare? It's so rare and delicious, and I bet you'd love it too!",positive,0.9036,0.9036,0.0,0.2,10.0,0.8511,concession,2,0,0,0,[]
scenario_01_vampire,scenario_01_vampire_001,9,agent_a,Marco,"Oh, Vlad, I understand completely! Garlic bread is such a guilty pleasure for me. But I promise, I won't let it ruin our meal. How about we split a small portion of the steak tartare? It's so rare and delicious, and I bet you'd love it too!",positive,0.9061,0.9061,0.0,0.2,10.0,0.8511,concession,2,0,0,0,[]
scenario_01_vampire,scenario_01_vampire_001,10,agent_b,Vlad,"Oh, Marco, I understand completely! Garlic bread is such a guilty pleasure for me. But I promise, I won't let it ruin our meal. How about we split a small portion of the steak tartare? It's so rare and delicious, and I bet you'd love it too!",positive,0.9036,0.9036,0.0,0.2,10.0,0.8511,concession,2,0,0,0,[]
scenario_01_vampire,scenario_01_vampire_002,1,agent_a,Marco,"Hey there! I heard you're looking for a place to grab something quick. How about we check out 'Da Luigi'? They've got some amazing garlic bread, and it's always been my favorite spot. Plus, the sun is shining, so why not enjoy it while we eat?",positive,0.9779,0.9779,0.0,0.4,9.8,0.9565,none,0,0,0,0,"[""Da Luigi (garlic bread specialist)""]"
scenario_01_vampire,scenario_01_vampire_002,2,agent_b,Vlad,"Thank you for the suggestion, Marco. I appreciate your enthusiasm. However, I have a slight preference for dining on raw food, particularly steak tartare. It's quite rare, but I believe it offers a more refined experience. Perhaps we could discuss ordering something else?",positive,0.7878,0.7878,0.0682,0.2,8.8,0.8837,concession,2,0,0,0,[]
